,epoch_time,fps,datetime
0,1654004096.3904626,0,2022-05-31 06:34:56.390462
1,1654004097.400874,0,2022-05-31 06:34:57.400873
2,1654004098.4090374,0,2022-05-31 06:34:58.409037
3,1654004099.4185674,0,2022-05-31 06:34:59.418567
4,1654004100.4326322,0,2022-05-31 06:35:00.432632
5,1654004101.445641,27,2022-05-31 06:35:01.445641
6,1654004102.4530747,24,2022-05-31 06:35:02.453074
7,1654004103.4589815,0,2022-05-31 06:35:03.458981
8,1654004104.4698226,24,2022-05-31 06:35:04.469822
9,1654004105.4780705,24,2022-05-31 06:35:05.478070
10,1654004106.4862254,24,2022-05-31 06:35:06.486225
11,1654004107.500456,24,2022-05-31 06:35:07.500456
12,1654004108.5109076,24,2022-05-31 06:35:08.510907
13,1654004109.5116942,24,2022-05-31 06:35:09.511694
14,1654004110.511538,24,2022-05-31 06:35:10.511537
15,1654004111.5219986,24,2022-05-31 06:35:11.521998
16,1654004112.528846,23,2022-05-31 06:35:12.528846
17,1654004113.5411007,24,2022-05-31 06:35:13.541100
18,1654004114.5544722,24,2022-05-31 06:35:14.554472
19,1654004115.5618944,0,2022-05-31 06:35:15.561894
20,1654004116.57175,24,2022-05-31 06:35:16.571749
21,1654004117.57921,24,2022-05-31 06:35:17.579210
22,1654004118.5896926,24,2022-05-31 06:35:18.589692
23,1654004119.6008484,24,2022-05-31 06:35:19.600848
24,1654004120.6043975,24,2022-05-31 06:35:20.604397
25,1654004121.6171148,24,2022-05-31 06:35:21.617114
26,1654004122.629709,24,2022-05-31 06:35:22.629709
27,1654004123.6416588,24,2022-05-31 06:35:23.641658
28,1654004124.6489224,24,2022-05-31 06:35:24.648922
29,1654004125.6613953,24,2022-05-31 06:35:25.661395
30,1654004126.6694107,24,2022-05-31 06:35:26.669410
31,1654004127.6836026,24,2022-05-31 06:35:27.683602
32,1654004128.695683,24,2022-05-31 06:35:28.695683
33,1654004129.706418,23,2022-05-31 06:35:29.706418
34,1654004130.7068079,24,2022-05-31 06:35:30.706807
35,1654004131.7175388,24,2022-05-31 06:35:31.717538
36,1654004132.7294838,24,2022-05-31 06:35:32.729483
37,1654004133.7405622,24,2022-05-31 06:35:33.740562
38,1654004134.750496,24,2022-05-31 06:35:34.750495
39,1654004135.757234,23,2022-05-31 06:35:35.757234
40,1654004136.768943,24,2022-05-31 06:35:36.768943
41,1654004137.7794712,24,2022-05-31 06:35:37.779471
42,1654004138.789126,24,2022-05-31 06:35:38.789126
43,1654004139.7983968,23,2022-05-31 06:35:39.798396
44,1654004140.8114974,24,2022-05-31 06:35:40.811497
45,1654004141.8230631,24,2022-05-31 06:35:41.823063
46,1654004142.8380644,24,2022-05-31 06:35:42.838064
47,1654004143.8509874,24,2022-05-31 06:35:43.850987
48,1654004144.872292,24,2022-05-31 06:35:44.872292
49,1654004145.8866115,0,2022-05-31 06:35:45.886611
50,1654004146.892939,0,2022-05-31 06:35:46.892939
51,1654004147.8925862,23,2022-05-31 06:35:47.892586
52,1654004148.9026835,24,2022-05-31 06:35:48.902683
53,1654004149.909827,24,2022-05-31 06:35:49.909827
54,1654004150.920819,24,2022-05-31 06:35:50.920819
55,1654004151.9337828,24,2022-05-31 06:35:51.933782
56,1654004152.9440963,24,2022-05-31 06:35:52.944096
57,1654004153.9567764,24,2022-05-31 06:35:53.956776
58,1654004154.969734,24,2022-05-31 06:35:54.969733
59,1654004155.9777734,24,2022-05-31 06:35:55.977773
60,1654004156.9891996,24,2022-05-31 06:35:56.989199
61,1654004157.9985836,23,2022-05-31 06:35:57.998583
62,1654004159.008281,24,2022-05-31 06:35:59.008281
63,1654004160.0215054,24,2022-05-31 06:36:00.021505
64,1654004161.0305364,24,2022-05-31 06:36:01.030536
65,1654004162.0398145,23,2022-05-31 06:36:02.039814
66,1654004163.040049,24,2022-05-31 06:36:03.040049
67,1654004164.0499594,24,2022-05-31 06:36:04.049959
68,1654004165.0613863,24,2022-05-31 06:36:05.061386
69,1654004166.0731366,24,2022-05-31 06:36:06.073136
70,1654004167.074877,0,2022-05-31 06:36:07.074876
71,1654004168.0888016,0,2022-05-31 06:36:08.088801
72,1654004169.0988674,0,2022-05-31 06:36:09.098867
73,1654004170.1085703,0,2022-05-31 06:36:10.108570
74,1654004171.1085982,0,2022-05-31 06:36:11.108598
75,1654004172.121002,0,2022-05-31 06:36:12.121002
76,1654004173.1352708,0,2022-05-31 06:36:13.135270
77,1654004174.1356368,0,2022-05-31 06:36:14.135636
78,1654004175.14704,0,2022-05-31 06:36:15.147039
79,1654004176.1578236,0,2022-05-31 06:36:16.157965
